Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/td_The Principal              College of Ga_1a80ac""))",Chrome 125.0.0.0,,,13-06-2024 11:17:25,13-06-2024 11:17:25,0.332s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/td_The Principal              Institute of _626c81""))",Chrome 125.0.0.0,,,13-06-2024 11:17:25,13-06-2024 11:17:26,0.343s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/td_The Principal              Meenakshi Mis_a4dbcc""))",Chrome 125.0.0.0,,,13-06-2024 11:17:26,13-06-2024 11:17:26,0.329s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/td_The Principal              Sathangai Aca_7fb635""))",Chrome 125.0.0.0,,,13-06-2024 11:17:26,13-06-2024 11:17:26,0.305s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/strong_Tamil Nadu Theological Seminary,""))",Chrome 125.0.0.0,,,13-06-2024 11:17:26,13-06-2024 11:17:27,0.369s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/td_The Principal              Tamil Nadu Th_c09a34""))",Chrome 125.0.0.0,,,13-06-2024 11:17:27,13-06-2024 11:17:27,0.326s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/td_The Principal            Water, Sanitati_81da99""))",Chrome 125.0.0.0,,,13-06-2024 11:17:27,13-06-2024 11:17:27,0.306s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/td_Aishwariaym Institute of Airhostess and _291d67""))",Chrome 125.0.0.0,,,13-06-2024 11:17:27,13-06-2024 11:17:28,0.310s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/td_aimairhostessgmail.com""))",Chrome 125.0.0.0,,,13-06-2024 11:17:28,13-06-2024 11:17:28,0.304s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/td_0451- 2434888""))",Chrome 125.0.0.0,,,13-06-2024 11:17:28,13-06-2024 11:17:28,0.285s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/td_99408 30811""))",Chrome 125.0.0.0,,,13-06-2024 11:17:28,13-06-2024 11:17:29,0.436s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/td_The Principal            Water, Sanitati_81da99""))",Chrome 125.0.0.0,,,13-06-2024 11:17:29,13-06-2024 11:17:29,0.320s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,13-06-2024 11:17:29,13-06-2024 11:17:31,1.673s,PASSED
,,,,,,,
Test Cases/Madurai Kamaraj University/Administration,Chrome 125.0.0.0,,,13-06-2024 11:17:31,13-06-2024 11:21:12,3m - 41.236s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 11:17:31,13-06-2024 11:17:31,0.760s,PASSED
"navigateToUrl(""https://mkuniversity.ac.in/new/Administration/vc"")",Chrome 125.0.0.0,,,13-06-2024 11:17:31,13-06-2024 11:17:39,7.897s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamaraj University Administration/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/strong_Vice-Chancellor""))",Chrome 125.0.0.0,,,13-06-2024 11:17:39,13-06-2024 11:17:40,0.294s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamaraj University Administration/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/strong_Vice-Chancellor  Madurai Kamaraj University""))",Chrome 125.0.0.0,,,13-06-2024 11:17:40,13-06-2024 11:17:40,0.288s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamaraj University Administration/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/p_Phone  91 452-2458471                    _9f0924""))",Chrome 125.0.0.0,,,13-06-2024 11:17:40,13-06-2024 11:17:40,0.350s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamaraj University Administration/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/font_Administration""))",Chrome 125.0.0.0,,,13-06-2024 11:17:40,13-06-2024 11:17:41,0.374s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamaraj University Administration/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/a_Registrar""))",Chrome 125.0.0.0,,,13-06-2024 11:17:41,13-06-2024 11:17:41,0.812s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamaraj University Administration/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/div""))",Chrome 125.0.0.0,,,13-06-2024 11:17:41,13-06-2024 11:17:42,0.450s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamaraj University Administration/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/div""))",Chrome 125.0.0.0,,,13-06-2024 11:17:42,13-06-2024 11:17:42,0.406s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamaraj University Administration/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/div""))",Chrome 125.0.0.0,,,13-06-2024 11:17:42,13-06-2024 11:17:43,0.300s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamaraj University Administration/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/p_Prof.Dr.M.Ramakrishnan M.E.,Ph.D.,Ph.D., _7ef71b""))",Chrome 125.0.0.0,,,13-06-2024 11:17:43,13-06-2024 11:17:43,0.288s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamaraj University Administration/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/font_Administration""))",Chrome 125.0.0.0,,,13-06-2024 11:17:43,13-06-2024 11:17:43,0.320s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamaraj University Administration/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/a_Controller of Examinations""))",Chrome 125.0.0.0,,,13-06-2024 11:17:43,13-06-2024 11:17:44,0.600s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamaraj University Administration/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/div_1""))",Chrome 125.0.0.0,,,13-06-2024 11:17:44,13-06-2024 11:17:44,0.460s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamaraj University Administration/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/div_1""))",Chrome 125.0.0.0,,,13-06-2024 11:17:44,13-06-2024 11:17:45,0.641s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamaraj University Administration/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/strong_Controller of Examinations (ic)""))",Chrome 125.0.0.0,,,13-06-2024 11:17:45,13-06-2024 11:17:45,0.314s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamaraj University Administration/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/font_Administration""))",Chrome 125.0.0.0,,,13-06-2024 11:17:45,13-06-2024 11:17:46,0.320s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamaraj University Administration/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/a_Special Officer""))",Chrome 125.0.0.0,,,13-06-2024 11:17:46,13-06-2024 11:17:46,0.619s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamaraj University Administration/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/div_1""))",Chrome 125.0.0.0,,,13-06-2024 11:17:46,13-06-2024 11:18:18,31.518s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamaraj University Administration/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/strong_Special Officer(Planning  Development)""))",Chrome 125.0.0.0,,,13-06-2024 11:18:18,13-06-2024 11:18:18,0.348s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamaraj University Administration/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/font_Administration""))",Chrome 125.0.0.0,,,13-06-2024 11:18:18,13-06-2024 11:18:18,0.316s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamaraj University Administration/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/a_Dean (College Development Council)""))",Chrome 125.0.0.0,,,13-06-2024 11:18:18,13-06-2024 11:18:19,0.650s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamaraj University Administration/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/strong_Dean (College Development Council)""))",Chrome 125.0.0.0,,,13-06-2024 11:18:19,13-06-2024 11:18:20,0.666s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamaraj University Administration/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/div_1""))",Chrome 125.0.0.0,,,13-06-2024 11:18:20,13-06-2024 11:18:51,31.371s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamaraj University Administration/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/p_Dr. P. Kannadasan                        _bec3cb""))",Chrome 125.0.0.0,,,13-06-2024 11:18:51,13-06-2024 11:18:51,0.350s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamaraj University Administration/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/font_Administration""))",Chrome 125.0.0.0,,,13-06-2024 11:18:51,13-06-2024 11:18:52,0.321s,PASSED
